,CR1,QR1,DR1,RR1,NDR1,ICR1,SGR1,SAEGR1,EBITDA1,GPM1,OPP1,CR2,QR2,DR2,RR2,NDR2,ICR2,SGR2,SAEGR2,EBITDA2,GPM2,OPP2,CR3,QR3,DR3,RR3,NDR3,ICR3,SGR3,SAEGR3,EBITDA3,GPM3,OPP3,CR4,QR4,DR4,RR4,NDR4,ICR4,SGR4,SAEGR4,EBITDA4,GPM4,OPP4,CR5,QR5,DR5,RR5,NDR5,ICR5,SGR5,SAEGR5,EBITDA5,GPM5,OPP5,Target
0,218.8,181.6,40.7,23681.4,0,81.9,18.7,8.2,51.7,46.0,22.4,252.9,210.9,37.0,26648.2,0,87.3,1.8,-7.3,12.7,45.7,24.2,284.4,242.4,34.1,28302.4,0,40.5,-5.5,5.5,-32.8,36.1,12.1,262.2,219.8,37.1,29723.5,0,61.7,2.8,1.7,15.6,39.0,15.2,259.9,213.7,38.3,32025.5,0,122.8,15.9,5.2,26.3,40.2,18.6,0
0,213.3,180.8,34.3,845.6,0,110.7,75.1,17.6,142.4,57.8,45.6,152.7,118.7,35.9,1249.3,0,220.3,34.3,19.9,45.5,62.5,51.5,181.6,115.1,36.1,1278.7,17.1,11.1,-33.3,23.4,-58.4,30.3,10.1,182.7,115.0,37.1,1387.2,15.3,19.8,18.2,6.3,30.4,33.9,15.7,236.2,173.6,41.8,1567.3,10.0,41.6,27.9,8.7,42.1,42.1,26.8,0
0,27.2,18.0,80.6,2304.0,4.2,11.6,57.7,15.6,357.2,28.4,14.2,222.0,179.5,43.9,2412.2,0,3.5,15.3,36.0,8.3,27.1,10.4,196.4,130.9,35.8,2532.5,0,3.6,30.9,12.1,52.7,27.4,13.1,297.2,187.6,39.7,2680.2,0,18.2,66.0,23.0,94.3,35.7,25.1,294.2,186.0,54.6,2870.2,0,41.0,42.3,57.1,72.3,47.5,36.4,0
0,207.8,206.2,51.2,35907.9,0,2073.9,16.3,19.8,9.5,100.0,25.2,205.6,203.4,66.1,39562.9,0,68.7,19.4,32.7,-13.1,100.0,16.9,149.6,148.1,89.1,43559.2,0,69.8,-22.0,-31.1,37.3,100.0,26.5,133.3,133.2,106.1,51970.9,0,56.1,21.8,27.7,3.5,100.0,22.9,124.2,124.1,36.2,150648.4,1.8,0,29.0,35.0,9.3,100.0,19.9,0
0,168.6,118.2,53.3,4121.6,1.6,29.3,24.4,27.2,30.1,21.7,11.4,166.2,107.2,67.1,4355.2,16.0,16.6,9.7,17.7,-13.8,19.0,8.0,132.8,76.5,95.7,4335.3,37.3,4.1,-2.9,24.5,-28.2,17.1,3.0,129.3,86.9,120.3,4517.9,33.4,9.0,10.0,16.9,53.2,21.0,6.0,138.2,84.4,119.7,5353.8,42.3,28.0,49.8,70.8,88.6,28.2,13.5,0
0,134.6,98.3,37.5,3152.6,0.9,5.1,22.0,-37.5,0,18.4,1.8,137.5,94.0,58.3,3342.3,13.0,13.8,44.3,26.3,124.9,22.3,7.8,138.5,92.8,56.8,3451.9,18.2,5.6,10.3,32.3,1.6,21.9,4.6,113.5,77.2,61.2,3634.9,16.8,9.7,11.9,-2.5,33.1,21.1,5.9,135.2,86.2,64.9,4042.8,14.8,18.2,21.1,14.8,41.6,23.0,8.2,0
0,112.2,88.4,138.4,4651.1,56.9,13.7,2.9,4.1,-5.2,18.2,4.8,95.4,73.7,144.5,4542.7,62.9,7.9,0.5,-2.2,-23.7,15.6,2.5,86.1,64.2,154.7,4707.5,74.3,11.4,9.2,10.5,20.3,16.7,3.4,85.9,66.9,174.2,4680.5,81.5,6.6,-1.7,14.5,-11.5,17.8,2.3,90.4,71.4,180.8,5029.3,92.0,23.1,15.8,-9.3,98.7,18.5,6.0,0
0,191.5,189.4,42.3,11751.3,0,14.7,34.7,34.0,28.4,100.0,8.4,149.7,147.9,41.5,12208.1,0,7.8,22.6,29.7,-29.6,100.0,3.0,132.6,130.3,52.2,12009.0,0,16.2,27.0,22.2,104.6,100.0,6.7,169.9,168.1,60.9,14120.8,0,24.1,35.4,29.3,69.7,100.0,11.0,170.2,169.0,67.2,19595.0,0,0,48.9,47.7,49.7,100.0,11.2,0
0,141.2,85.5,94.7,1165.7,0,3.0,1.6,3.6,-39.3,16.7,1.2,132.9,84.1,90.1,1183.6,0,5.7,1.2,-17.2,22.8,14.8,2.1,124.8,77.8,91.0,1264.7,0,10.7,7.3,7.8,33.9,16.1,3.5,123.7,90.1,102.4,1307.4,0,8.8,1.8,6.9,3.6,16.8,3.5,142.2,110.2,90.9,1489.2,0,30.1,24.7,-8.3,128.2,18.1,7.4,0
0,261.7,229.3,36.3,1823.8,3.4,35.1,41.5,27.1,79.0,73.2,53.5,245.5,221.4,34.5,2006.7,0,23.8,3.5,12.7,-23.2,55.9,34.5,272.0,225.0,33.9,2215.2,0,34.9,14.9,19.7,15.4,55.8,33.5,238.3,201.8,46.1,2512.7,2.2,94.9,63.9,22.7,65.9,55.2,38.5,254.1,206.2,40.4,2828.3,0,82.4,-4.5,26.3,2.7,60.8,41.5,0
0,164.3,111.8,66.5,9283.4,22.9,7.1,14.3,-2.9,30.7,13.8,7.6,177.7,117.0,67.3,9208.4,19.9,7.5,7.1,-34.9,11.3,12.3,8.5,213.5,146.6,65.4,9431.5,17.1,5.1,-0.9,-2.0,-16.8,9.7,6.0,212.6,158.9,65.9,9585.4,9.2,3.8,-10.2,-2.7,-17.8,8.2,4.2,235.5,164.4,68.4,10613.0,8.7,21.2,29.3,9.2,125.7,15.9,12.5,0
0,230.8,196.7,42.2,5934.3,0,40.4,-8.2,2.1,-23.0,12.7,5.8,239.3,205.7,40.3,6206.2,0,31.8,0.0,4.2,0.2,13.0,5.8,240.0,206.1,43.8,6563.3,0,31.5,8.3,12.9,16.1,13.7,6.2,227.2,196.8,45.5,6785.1,0,33.6,-3.7,0.1,-15.6,12.8,5.0,253.0,208.4,43.2,7149.8,0,52.9,16.0,9.4,20.2,12.6,5.0,0
0,162.9,102.9,77.4,3788.8,6.4,15.6,16.8,22.3,-0.5,11.6,7.0,187.6,118.2,87.0,4010.5,17.7,8.1,17.5,-12.0,-26.5,7.3,3.9,166.0,103.8,117.1,3870.8,42.0,3.3,-9.1,-0.7,-23.4,6.0,2.3,120.7,85.5,149.0,3351.8,62.9,0,-30.7,13.0,0,-1.4,-7.5,167.7,114.1,153.4,3900.2,48.3,5.7,23.3,4.2,0,9.8,5.0,0
0,109.5,75.8,180.9,1367.6,40.8,6.7,10.9,-1.7,37.5,23.9,4.0,113.0,77.9,171.8,1481.4,40.0,6.5,-0.1,1.5,11.0,24.6,4.4,111.9,78.7,173.1,1489.9,38.9,6.0,1.6,4.2,5.1,24.6,3.9,115.0,78.2,174.8,1612.3,27.3,8.7,1.5,1.7,18.1,25.8,5.1,118.7,76.6,168.7,1828.9,22.5,17.6,32.1,34.0,7.3,26.3,5.9,0
0,85.0,74.4,95.0,127798.6,10.7,5.2,4.2,-13.2,113.0,12.5,3.0,105.0,92.0,88.1,114155.6,0.4,5.9,6.4,4.0,15.1,12.8,3.5,107.5,90.2,72.0,135844.9,1.0,6.4,-1.3,1.9,-9.2,12.4,2.8,118.7,100.1,64.9,169159.6,0,9.1,-1.8,-14.6,-1.5,11.1,2.8,131.5,106.1,65.3,166243.7,0,11.3,12.1,6.9,26.9,11.5,3.5,0
0,112.2,86.1,139.9,94567.4,47.5,7.3,9.5,11.4,8.5,11.8,6.3,123.7,93.8,134.8,113855.2,51.0,4.6,10.5,-2.9,-7.3,9.5,4.7,112.3,86.7,154.2,120119.8,70.6,2.7,-2.4,5.1,7.4,9.0,3.8,102.3,85.7,165.4,124999.1,76.8,0,-16.4,9.1,-31.0,6.5,-0.2,124.0,99.6,158.4,145955.3,68.8,4.1,15.5,6.8,89.5,12.0,6.1,0
0,121.5,77.6,55.1,3362.2,6.5,66.7,0.2,-7.7,6.1,57.3,15.2,124.5,79.2,46.8,3944.4,1.9,102.5,10.5,17.4,11.2,60.0,15.4,122.1,80.0,53.3,4660.9,0,84.8,13.9,19.3,19.3,62.0,15.3,134.0,79.3,40.3,5348.6,0,97.6,2.1,1.9,3.9,62.2,15.6,158.5,90.0,38.3,5866.1,1.7,121.2,5.5,8.0,7.6,63.3,17.3,0
